season,weekday,company,median_daily_energy_kwh,mad_daily_energy_kwh,relative_mad
summer,0,LG 1,1555.750,195.750,0.126
summer,1,LG 1,1642.625,151.375,0.092
summer,2,LG 1,1646.375,201.750,0.123
summer,3,LG 1,1693.125,164.125,0.097
summer,4,LG 1,1329.250,156.000,0.117
summer,5,LG 1,373.500,31.625,0.085
summer,6,LG 1,371.750,31.750,0.085
winter,0,LG 1,2637.875,297.125,0.113
winter,1,LG 1,2636.625,284.625,0.108
winter,2,LG 1,2684.250,220.375,0.082
winter,3,LG 1,2673.250,149.125,0.056
winter,4,LG 1,2218.500,201.875,0.091
winter,5,LG 1,950.750,131.500,0.138
winter,6,LG 1,936.750,200.250,0.214
summer,0,LG 10,1494.735,35.385,0.024
summer,1,LG 10,1538.670,54.780,0.036
summer,2,LG 10,1531.605,46.005,0.030
summer,3,LG 10,1518.510,44.595,0.029
summer,4,LG 10,1538.880,47.730,0.031
summer,5,LG 10,1587.525,38.535,0.024
summer,6,LG 10,1579.875,31.005,0.020
winter,0,LG 10,1536.795,66.645,0.043
winter,1,LG 10,1549.395,69.990,0.045
winter,2,LG 10,1530.675,69.060,0.045
winter,3,LG 10,1497.720,83.010,0.055
winter,4,LG 10,1529.040,99.795,0.065
winter,5,LG 10,1574.760,51.960,0.033
winter,6,LG 10,1574.760,62.910,0.040
summer,0,LG 11,48330.250,4479.850,0.093
summer,1,LG 11,52239.700,6303.550,0.121
summer,2,LG 11,51957.600,6097.950,0.117
summer,3,LG 11,51537.500,10722.925,0.208
summer,4,LG 11,50240.000,7870.000,0.157
summer,5,LG 11,14064.700,3821.350,0.272
summer,6,LG 11,8277.075,219.825,0.027
winter,0,LG 11,43772.950,9965.650,0.228
winter,1,LG 11,50883.800,13954.175,0.274
winter,2,LG 11,53292.750,11424.075,0.214
winter,3,LG 11,51554.125,10974.250,0.213
winter,4,LG 11,48529.550,15065.700,0.310
winter,5,LG 11,12059.750,5290.350,0.439
winter,6,LG 11,8142.600,319.400,0.039
summer,0,LG 12,1276.610,79.668,0.062
summer,1,LG 12,1290.697,93.170,0.072
summer,2,LG 12,1305.508,83.385,0.064
summer,3,LG 12,1278.851,52.158,0.041
summer,4,LG 12,1050.893,75.312,0.072
summer,5,LG 12,717.315,45.548,0.063
summer,6,LG 12,719.636,49.012,0.068
winter,0,LG 12,1193.803,50.574,0.042
winter,1,LG 12,1184.016,40.689,0.034
winter,2,LG 12,1173.235,43.274,0.037
winter,3,LG 12,1189.668,37.879,0.032
winter,4,LG 12,978.635,70.458,0.072
winter,5,LG 12,645.691,21.324,0.033
winter,6,LG 12,641.136,16.604,0.026
summer,0,LG 13,33858.700,3818.200,0.113
summer,1,LG 13,34436.800,2837.900,0.082
summer,2,LG 13,33628.500,2995.400,0.089
summer,3,LG 13,32850.400,4363.600,0.133
summer,4,LG 13,30937.800,4145.400,0.134
summer,5,LG 13,17572.900,7462.500,0.425
summer,6,LG 13,695.700,63.900,0.092
winter,0,LG 13,38047.000,5966.600,0.157
winter,1,LG 13,40551.300,3369.700,0.083
winter,2,LG 13,40452.900,5248.300,0.130
winter,3,LG 13,36018.600,3284.200,0.091
winter,4,LG 13,37759.000,4598.400,0.122
winter,5,LG 13,2855.000,205.000,0.072
winter,6,LG 13,756.200,82.400,0.109
summer,0,LG 14,4994.875,192.125,0.038
summer,1,LG 14,5241.125,86.750,0.017
summer,2,LG 14,5297.375,155.375,0.029
summer,3,LG 14,5176.500,128.250,0.025
summer,4,LG 14,4993.250,169.500,0.034
summer,5,LG 14,2704.625,250.875,0.093
summer,6,LG 14,2035.000,159.125,0.078
winter,0,LG 14,4924.250,180.785,0.037
winter,1,LG 14,5085.585,149.290,0.029
winter,2,LG 14,5101.635,158.110,0.031
winter,3,LG 14,5087.790,133.210,0.026
winter,4,LG 14,4792.250,366.060,0.076
winter,5,LG 14,2555.750,195.240,0.076
winter,6,LG 14,2112.000,179.000,0.085
summer,0,LG 15,60777.200,745.800,0.012
summer,1,LG 15,62048.200,1045.800,0.017
summer,2,LG 15,62531.400,1414.800,0.023
summer,3,LG 15,62776.200,1448.000,0.023
summer,4,LG 15,61796.000,1883.600,0.030
summer,5,LG 15,61086.600,1519.800,0.025
summer,6,LG 15,60076.600,1400.800,0.023
winter,0,LG 15,61500.000,2789.000,0.045
winter,1,LG 15,62540.000,2723.800,0.044
winter,2,LG 15,62405.200,2593.200,0.042
winter,3,LG 15,62140.600,2432.800,0.039
winter,4,LG 15,62076.600,3024.600,0.049
winter,5,LG 15,61635.200,2658.800,0.043
winter,6,LG 15,60510.400,2734.000,0.045
summer,0,LG 16,1123.597,209.671,0.187
summer,1,LG 16,1239.099,147.977,0.119
summer,2,LG 16,1248.440,132.068,0.106
summer,3,LG 16,1213.802,170.547,0.141
summer,4,LG 16,1092.624,182.706,0.167
summer,5,LG 16,138.928,5.463,0.039
summer,6,LG 16,138.067,8.030,0.058
winter,0,LG 16,1041.581,87.962,0.084
winter,1,LG 16,1111.351,122.483,0.110
winter,2,LG 16,1147.012,83.151,0.072
winter,3,LG 16,1138.321,86.045,0.076
winter,4,LG 16,1024.568,162.060,0.158
winter,5,LG 16,146.463,8.558,0.058
winter,6,LG 16,140.021,4.075,0.029
summer,0,LG 17,141.075,21.262,0.151
summer,1,LG 17,154.125,28.125,0.182
summer,2,LG 17,164.415,23.752,0.144
summer,3,LG 17,165.233,17.468,0.106
summer,4,LG 17,107.400,17.145,0.160
summer,5,LG 17,39.600,11.385,0.288
summer,6,LG 17,21.720,2.692,0.124
winter,0,LG 17,330.345,56.160,0.170
winter,1,LG 17,317.632,64.800,0.204
winter,2,LG 17,330.742,51.825,0.157
winter,3,LG 17,320.602,35.190,0.110
winter,4,LG 17,218.670,27.202,0.124
winter,5,LG 17,38.970,8.655,0.222
winter,6,LG 17,28.635,4.965,0.173
summer,0,LG 18,5763.000,628.650,0.109
summer,1,LG 18,5810.475,631.650,0.109
summer,2,LG 18,6085.275,333.525,0.055
summer,3,LG 18,5817.600,603.525,0.104
summer,4,LG 18,5350.800,304.050,0.057
summer,5,LG 18,739.050,216.225,0.293
summer,6,LG 18,653.925,104.925,0.160
winter,0,LG 18,6129.900,460.200,0.075
winter,1,LG 18,6262.650,603.525,0.096
winter,2,LG 18,5901.450,357.450,0.061
winter,3,LG 18,6162.825,339.375,0.055
winter,4,LG 18,4972.950,539.550,0.108
winter,5,LG 18,749.700,82.050,0.109
winter,6,LG 18,870.450,116.550,0.134
summer,0,LG 19,224.005,25.435,0.114
summer,1,LG 19,252.657,23.078,0.091
summer,2,LG 19,258.202,23.765,0.092
summer,3,LG 19,256.955,36.923,0.144
summer,4,LG 19,264.970,15.830,0.060
summer,5,LG 19,133.947,13.485,0.101
summer,6,LG 19,124.412,10.392,0.084
winter,0,LG 19,367.642,54.938,0.149
winter,1,LG 19,376.775,55.505,0.147
winter,2,LG 19,406.625,42.857,0.105
winter,3,LG 19,419.035,43.287,0.103
winter,4,LG 19,401.870,42.657,0.106
winter,5,LG 19,267.605,42.325,0.158
winter,6,LG 19,236.860,40.965,0.173
summer,0,LG 2,22355.400,1219.440,0.055
summer,1,LG 2,23381.550,1183.320,0.051
summer,2,LG 2,23466.990,1091.070,0.046
summer,3,LG 2,23279.040,1385.130,0.060
summer,4,LG 2,17594.460,599.400,0.034
summer,5,LG 2,9492.030,756.960,0.080
summer,6,LG 2,7366.410,379.260,0.051
winter,0,LG 2,20571.990,1265.490,0.062
winter,1,LG 2,21243.060,1094.070,0.052
winter,2,LG 2,21138.390,688.650,0.033
winter,3,LG 2,20828.550,1047.810,0.050
winter,4,LG 2,16464.780,847.200,0.051
winter,5,LG 2,9849.000,506.160,0.051
winter,6,LG 2,8597.100,384.960,0.045
summer,0,LG 20,20887.250,1509.500,0.072
summer,1,LG 20,22502.500,977.500,0.043
summer,2,LG 20,22810.250,1287.250,0.056
summer,3,LG 20,22046.000,1149.750,0.052
summer,4,LG 20,20037.000,1183.500,0.059
summer,5,LG 20,9688.500,926.750,0.096
summer,6,LG 20,8055.500,356.500,0.044
winter,0,LG 20,20829.000,1820.750,0.087
winter,1,LG 20,23298.500,1380.500,0.059
winter,2,LG 20,22433.500,1679.250,0.075
winter,3,LG 20,22355.500,1372.000,0.061
winter,4,LG 20,19904.500,1714.250,0.086
winter,5,LG 20,10810.000,1335.500,0.124
winter,6,LG 20,7722.000,661.000,0.086
summer,0,LG 3,447.208,77.655,0.174
summer,1,LG 3,491.930,96.833,0.197
summer,2,LG 3,432.385,33.943,0.079
summer,3,LG 3,415.231,40.878,0.098
summer,4,LG 3,418.022,57.232,0.137
summer,5,LG 3,187.125,15.725,0.084
summer,6,LG 3,178.951,10.997,0.061
winter,0,LG 3,504.459,94.886,0.188
winter,1,LG 3,681.799,234.457,0.344
winter,2,LG 3,552.663,122.796,0.222
winter,3,LG 3,698.009,276.499,0.396
winter,4,LG 3,508.524,165.320,0.325
winter,5,LG 3,222.576,24.827,0.112
winter,6,LG 3,204.395,18.076,0.088
summer,0,LG 4,51702.950,4646.900,0.090
summer,1,LG 4,50459.700,7360.700,0.146
summer,2,LG 4,47761.800,5305.750,0.111
summer,3,LG 4,48088.500,5188.450,0.108
summer,4,LG 4,49611.900,6223.100,0.125
summer,5,LG 4,51391.350,4804.350,0.093
summer,6,LG 4,50078.450,5354.850,0.107
winter,0,LG 4,47385.000,5618.550,0.119
winter,1,LG 4,49176.100,5780.550,0.118
winter,2,LG 4,49396.350,4629.100,0.094
winter,3,LG 4,48744.000,3620.900,0.074
winter,4,LG 4,48712.500,2657.450,0.055
winter,5,LG 4,48435.900,4833.100,0.100
winter,6,LG 4,50005.700,4471.800,0.089
summer,0,LG 5,1275.880,35.800,0.028
summer,1,LG 5,1310.000,25.120,0.019
summer,2,LG 5,1295.640,41.960,0.032
summer,3,LG 5,1297.520,43.440,0.033
summer,4,LG 5,1261.920,56.880,0.045
summer,5,LG 5,479.000,88.640,0.185
summer,6,LG 5,439.440,57.640,0.131
winter,0,LG 5,1353.760,72.080,0.053
winter,1,LG 5,1391.760,52.360,0.038
winter,2,LG 5,1399.120,46.600,0.033
winter,3,LG 5,1402.480,81.560,0.058
winter,4,LG 5,1341.120,72.240,0.054
winter,5,LG 5,460.240,84.160,0.183
winter,6,LG 5,397.760,59.120,0.149
summer,0,LG 6,872.610,172.965,0.198
summer,1,LG 6,805.800,157.500,0.195
summer,2,LG 6,913.245,156.195,0.171
summer,3,LG 6,861.720,134.115,0.156
summer,4,LG 6,751.470,147.990,0.197
summer,5,LG 6,291.795,52.740,0.181
summer,6,LG 6,11.115,2.205,0.198
winter,0,LG 6,1003.365,106.530,0.106
winter,1,LG 6,1049.940,43.365,0.041
winter,2,LG 6,1035.900,43.440,0.042
winter,3,LG 6,1037.085,66.900,0.065
winter,4,LG 6,1011.555,83.895,0.083
winter,5,LG 6,309.000,88.020,0.285
winter,6,LG 6,10.620,6.840,0.644
summer,0,LG 7,6656.605,787.715,0.118
summer,1,LG 7,7524.614,832.958,0.111
summer,2,LG 7,7205.923,588.011,0.082
summer,3,LG 7,7340.863,800.773,0.109
summer,4,LG 7,6404.618,1247.478,0.195
summer,5,LG 7,203.086,96.061,0.473
summer,6,LG 7,89.026,7.495,0.084
winter,0,LG 7,6660.521,980.010,0.147
winter,1,LG 7,7067.798,632.475,0.089
winter,2,LG 7,7758.506,616.000,0.079
winter,3,LG 7,7561.043,548.771,0.073
winter,4,LG 7,6807.031,1203.505,0.177
winter,5,LG 7,252.007,76.477,0.303
winter,6,LG 7,150.019,15.003,0.100
summer,0,LG 8,15264.500,1522.000,0.100
summer,1,LG 8,16052.000,989.000,0.062
summer,2,LG 8,14328.500,1105.000,0.077
summer,3,LG 8,16330.500,613.500,0.038
summer,4,LG 8,15521.000,1240.000,0.080
summer,5,LG 8,9504.000,1473.500,0.155
summer,6,LG 8,5885.000,1422.000,0.242
winter,0,LG 8,13286.500,2654.500,0.200
winter,1,LG 8,15953.000,1049.500,0.066
winter,2,LG 8,13654.000,930.000,0.068
winter,3,LG 8,16427.500,1199.000,0.073
winter,4,LG 8,15724.000,1178.500,0.075
winter,5,LG 8,5829.000,2207.000,0.379
winter,6,LG 8,2274.000,1411.000,0.620
summer,0,LG 9,9485.250,626.000,0.066
summer,1,LG 9,10181.000,634.500,0.062
summer,2,LG 9,10137.250,471.000,0.046
summer,3,LG 9,9918.750,732.250,0.074
summer,4,LG 9,9258.000,561.000,0.061
summer,5,LG 9,1863.500,241.750,0.130
summer,6,LG 9,1706.500,145.500,0.085
winter,0,LG 9,10201.500,787.500,0.077
winter,1,LG 9,10927.250,812.500,0.074
winter,2,LG 9,10737.000,823.250,0.077
winter,3,LG 9,10868.500,897.500,0.083
winter,4,LG 9,10097.000,758.250,0.075
winter,5,LG 9,1958.000,544.500,0.278
winter,6,LG 9,1746.000,239.000,0.137
